Name,Rasa,Guna,Virya,Vipaka,Karma
Ajagandha(Sd.)
Ajamoda(Frt.)
Amalaki(Fr.Frt.Pulp)
Amalaki(Drd.Frt.)
Aragavadha(Frt.Pulp)
Arka(Rt.)
Arka(Lf.)
Asana(Ht.Wd.)
Ashoka(St.Bk.)
Asvagandha(Rt.)
Asvattha(Bk.)
Atasi(Sd.)
Atibala(Rt.)
Ativisha(Rt.)
Babbula(St.Bk.)
Bakuchi(Frt)
Bibhitaka(Frt.)
Bilva(Frt.Pulp)
Chandrasua(Sd.)
Chitraka(Rt.)
Dhanyaka(Frt.)
Dhataki(Fl.)
Eranda(Rt.)
Gambhari(Rt.Bk.)
Gokshura(Rt.)
Gokshura(Frt.)
Guduchi(St)
Guggulu(Exudate)
Gunja(Sd.)
Haridra(Rz.)
Haritaki(Frt.)
Hingu(Oleo-gum-Resin)
Jatamansi(Rz.)
Jatiphala(Sd.)
Kampilla(Frt.)
Kanchanara(St.Bk.)
Kankola(Frt.)
Kantakari(W.P.)
"layers,xylemconsistsofvessels,tracheids,parenchyma,fibresandtraversedby"
Kanyasara(Lf.)
Karanja(Sd.)
Karavira(Lf.)
Karkatashringi(Gall.)
Karpasa(Sd.)
Kaseru(Rz.)
Ketaki(Rt.)
Khadira(Ht.Wd.)
Kiratatikta(W.P)
Krishnajiraka(Frt.)
Kulattha(Sd.)
Kushta(Root)
Kutaja(St.Bk.)
Lavanga(F.Bud.)
Lodhra(St.Bk.)
Madana(Frt.)
Mishreya(Frt.)
manyofthesegroupswithlongeraxisoftheircellsatanglewiththoseofadjacent
Nyagrodha(St.Bk.)
Pashanabheda(Rz.)
Patha(Rt.)
Puga(Sd.)
Punarnava(Rakta)(W.P)
Saptaparna(St.Bk.)
Shati(Rz.)
Snuhi(St.)
Sukshmaila(Frt.)
Shunthi(Rz.)
Svarnapatri(Lf.)
Svetajiraka(Frt.)
SvetaSariva
Tagara(Rz.)
Tamalaki(Rt.St.&Lf.)
Tvak(Bk.)
Tvakapatra(Lf.)
Udumbara(Bk)
Upakunchika(Bk.)
Varuna(St.Bk.)
Vasa(Lf.)
Vidanga(Frt.)
Vijayaa(Lf.)
Yashti(Stm&RT.)
Yaani(Frt.)
